Genotype	DM_India_2017	DM_India_2018	DM_India_2021	DM_India_2018.1	DM_India_2019	DF_India_2017	DF_India_2018	DF_India_2019	DF_India_2021	DF_India_2018.1	DF_India_2019.1
VI000020AY	63.25	64	100	57.5	52	38.25	38	53.5	50.5	41.5	34
VI000099AG	67.75	66.5	100.5	66.5	60	42.5	48	57	56.5	45.5	51
VI000105BG	65	67.5	92	55.5	57.5	36.25	36.5	49	48.5	38.5	38
VI000164BG	67.25	83	85	56.5	57	37.75	52	51	46	42	36
VI000170B-BR	69.75	63.5	91	58	52	38.5	28	45.5	46.5	39	38
VI000175BY	60	66.5	88.5	57	53.5	35.25	33	48	42	39.5	37
VI000188A-BLM	61	69	95.5	55.5	52.5	34	31.5	49	38.5	37.5	37
VI000203B-BR	71.75	67	94.5	56.5	NA	42.25	38	54	52.5	38	NA
VI000212A-BLM	69.75	NA	88	57.5	55.5	39	58	56.5	49	40.5	43
VI000232AG	59.75	63.5	95	58	53	32.5	33.5	48.5	46.5	38	42.5
VI000238AG	62	67	87	68	NA	33.25	32	56	40.5	46	51
VI000253AG	60.75	70	91	57.5	55.5	35.5	43.5	43	45.5	41	40.5
VI000316AG	62.25	72.5	90	59	61.5	36.75	38	56.5	48.5	43	41
VI000317BG	62	66.5	87	59.5	57	37.25	37.5	55.5	49	43	41.5
VI000319AG	57.25	61	92	56.5	57.5	32.5	39	54	51	38	45
VI000380AG	66.75	65	101	57.5	55	38.25	36	45	45.5	41	41.5
VI000461BG	61.75	63.5	91.5	57	60	38	34.5	57.5	50	39	55
VI000470AG	62.25	64	94.5	56	60	35.75	38.5	51.5	48.5	40.5	45.5
VI000532BG	60.5	72.5	95	54.5	53.5	34.5	39.5	44	47.5	40.5	38
VI000537BG	65.5	65.5	94.5	55.5	58	43	38	48	48.5	43.5	44
VI000542BY	67.5	71.5	96.5	57.5	59.5	41.75	38	56.5	50.5	45	48.5
VI000551AG	66.5	66.5	90	54.5	57.5	41	36.5	55.5	46	34	50
VI000554AG	65	65	84.5	56.5	57	39.25	38	56	50.5	41	37
VI000559AG	63.75	67.5	94	58.5	56	38	39.5	51	44	43	41.5
VI000578AG	67.75	75.5	87.5	65	56	44.5	52	58	56	43	38
VI000589B-BR	66.25	65	92.5	57.5	52	38.5	32.5	52.5	43.5	39	37
VI000616BG	60.5	65	91	56	57	37.25	38	53.5	48	41	NA
VI000618AG	62.6666666666667	68	95	55.5	54	36.25	22	47.5	46	35.5	39
VI000625B-BR	58.25	68.5	91	58.5	55.5	30.25	31	48.5	46	40	42.5
VI000680AG	62	66.5	92	54.5	54.5	34.25	37.5	43	45.5	41	38.5
VI000723AG	67	62	86.5	57.5	56.5	39	35	45.5	38	40	40.5
VI000732AG	67	68.5	94	59.5	55	37	39	57.5	48.5	41	37.5
VI000735BG	65	68	91	56.5	52	34.5	38	50.5	46	37	35.5
VI000736AG	63	65	103	58.5	55	39	33.5	49.5	46	37.5	37
VI000749AG	67	75	98	54	60.5	39.5	50.5	54	48	44.5	49
VI000764AG	62.5	85	98	55	60	38.75	58	50	45.5	37.5	53
VI000766BG	64.5	65	91.5	54	52	36	35	52	48.5	35.5	34.5
VI000805BG	64.25	65	91.5	57	53.5	35.25	34	48	44	41	36
VI000815BG	65.5	65	92	67	53	35.5	33.5	45	46.5	41	37.5
VI000818BG	61	68	93	54.5	50	33.25	32.5	49.5	46.5	37	39
VI000852AG	62.6666666666667	65	101	61	55	35.75	35	53	47	44	41
VI000938AG	62.25	68	94	57	54	35.25	36.5	46	40.5	39	40.5
VI000942AG	63.75	65.5	103	56.5	55	40.5	31.5	57.5	41.5	38.5	34
VI000953AG	63.75	63.5	99	61.5	56.5	38.75	33.5	43	46	43.5	45
VI000981BG	60.75	66.5	95.5	57.5	53.5	34	36.5	48.5	44.5	34	39.5
VI001023BG	62.75	66	101.5	56	53	34.5	34	47	45	41	41
VI001066BG	68	NA	101	56	62	45.5	51	50.5	43.5	39	50
VI001096AG	67	64	94.5	57.5	55	37	37	53	53	40	42
VI001124AG	67	63.5	103	54.5	53	36.75	34.5	47	47.5	37.5	43
VI001126BG	71	NA	95	57	55	47.3333333333333	48	52.5	46.5	41	41
VI001162AG	68.6666666666667	NA	101.5	60	NA	42	NA	57	49.5	38	NA
VI001191BG	64.75	63.5	92.5	60	51.5	36.25	33.5	50.5	54.5	33	36
VI001211AG	65.25	66.5	94.5	55.5	57	40.5	38.5	56	53	37.5	37
VI001221AG	62.75	63.5	NA	55	56.5	36.25	35.5	51.5	NA	37	40.5
VI001244AG	65.5	60.5	98.5	57	57	35.75	33	50.5	48	41	35
VI001268BG	68.75	66.5	93	54.5	56	36.5	32	48	47.5	37	40.5
VI001282AG	64.5	68.5	89	59	54	34.75	42	56	42.5	36.5	42.5
VI001284AG	63.25	62	100	54.5	52.5	36	35.5	52.5	42	35.5	36
VI001339AG	64	67	93	57	59.5	39.25	36	50	48.5	36	46
VI001385AG	66	83.5	NA	55	61	41.75	51	54	NA	43	40
VI001400AG	69.25	62	100	60.5	59	44	42.5	51.5	47	38.5	46
VI001403BR	70	63.5	102	61	51	42.5	37.5	58	56	41.5	33
VI001406BG	63.25	75	92.5	57.5	57.5	36.75	42.5	53	44	40	44
VI001408BG	63.5	65	93	65	50	31.75	31	43.5	43.5	43	36
VI001411AG	65.5	69	NA	60.5	63	41.75	42	NA	NA	46.5	59
VI001412AG	65.25	66.5	97.5	60	53.5	42	39.5	53	41.5	41.5	37.5
VI001419BG	71.3333333333333	66.5	96.5	67	60	43.25	33.5	55.5	51.5	34	52
VI001435AG	63	77.5	98.5	55.5	58	36.75	40	46	48.5	40.5	37
VI001448A-BLM	67	82	91	58.5	55	38	58	54.5	46	44	40
VI001471AG	62	70	89	54.5	54	36.75	38	42	41.5	36	39.5
VI001482BG	65	67	98	66	55	38.75	32	44	47	40	35.5
VI001490AG	61.75	68	94	68	54.5	32.5	32	47.5	45.5	42.5	33
VI001509AG	62	77	93	60.5	56	36.25	50	48	48	44.5	33
VI001514AG	67.25	65.5	93	61	60.5	39	36.5	54	52.5	42	44
VI001520A-BLM	70	NA	91	55	53	36.5	56.5	48.5	48.5	45	39
VI001533BG	73.5	82	102.5	55	56	45.75	58	56.5	55	36	NA
VI001535BG	64	65	100	55	55	37.5	38.5	55.5	52.5	38	41.5
VI001539AG	69	76.5	94	59.5	56	42.25	48	58.5	52	40	42
VI001548AG	66.25	82	95	61	53.5	42.25	53.5	54.5	52.5	34	40.5
VI001556BG	66	NA	87	58	54	41.25	33	53.5	52	46.5	37
VI001557BG	62.25	65	97.5	56.5	54.5	37.25	36.5	54	48.5	40.5	42.5
VI001562AG	66	67	92.5	63.5	59	39.75	29.5	56	50.5	43	47
VI001576BG	67.5	66.5	85	55.5	57	37.25	37	50	50	38	36
VI001579BG	62.5	66.5	93.5	61	54	38.5	32.5	52	54	40.5	39.5
VI001605BG	62.25	68	95.5	58	55	36	43.5	53.5	45.5	36.5	38.5
VI001612AG	63.25	75	89.5	61.5	NA	38	39	56.5	48	43	NA
VI001628AG	63	66.5	85	55.5	59	33.25	32.5	49	52	37.5	NA
VI001651BG	64	70.5	98	56	56	39	46	48.5	51	38	43
VI001652BG	66.6666666666667	68	101	56	53.5	42	38	46	46.5	39.5	38
VI001654BG	68	68	95	57.5	53.5	40.5	38	53.5	48.5	33	40
VI001678BG	63.3333333333333	63.5	90	59	55	34.5	33.5	49	49	32	42.5
VI001692AG	63.25	66.5	94	55	56.5	35.75	34.5	54	52.5	38.5	46
VI001698BG	63.5	64	85	57.5	55.5	36	36.5	47.5	52	34	38.5
VI001728AG	68.75	NA	94.5	61	54.5	39.75	55	56	52	43	38
VI001733BG	64.3333333333333	63.5	91	55.5	54.5	33	32.5	49.5	51	36	37
VI001743BG	72	62.5	94	58.5	60	39	36	57.5	51	40.5	NA
VI001756BG	60.5	64	93	58	56.5	32.75	32.5	53.5	52	41.5	37
VI001762A-GM	65	85	94.5	57	55	38.75	58	52	49.5	39.5	45
VI001806AG	69	69	96	57	61	42.5	53.5	53.5	51.5	43.5	51
VI001806BG	72	68.5	85	56.5	59	42.5	48	47	50	37.5	50
VI001820BG	67.5	66.5	94	60	NA	41	49.5	55.5	46.5	43	52
VI001859BG	71	68	85.5	52	53.5	42	34	44	46.5	34.5	40
VI001974BG	63.25	63.5	93	64	53	35.75	31.5	49	41.5	35	37.5
VI001993BG	63	67.5	93.5	54	54	35.75	33.5	46	45	41	36
VI002009BG	60	82	89.5	57	51	34.25	36	42.5	39.5	34	34.5
VI002012BG	64.75	63.5	88.5	54	53.5	35	33	46	46.5	36	38.5
VI002051BG	67.75	78	93	61	55.5	40.75	44	53	54.5	43	41
VI002063BG	64	69	87	54	58	37	37	50.5	41	42	43
VI002173AG	64.5	63.5	102	57	53.5	40.5	33	55.5	46.5	42	39
VI002173BG	59.5	71	90.5	54.5	54.5	32.25	40	50	46.5	39	37
VI002176AG	61.25	63.5	91	55.5	51	33	34	44.5	40.5	38.5	36
VI002176BG	64	62	94.5	54.5	55	37.75	32.5	54.5	48.5	36	41.5
VI002190BG	63.5	68	87	54.5	59	39	36.5	46	45.5	38.5	48.5
VI002195AG	63.75	65	95	54.5	55.5	35.5	35	50	49	40.5	39.5
VI002197BG	61.25	65	94.5	53.5	52	35.25	35.5	49.5	48.5	35.5	38
VI002206AG	62.25	62	94	55	58	33.25	33	47.5	44	39.5	48
VI002239AG	59.75	66.5	90.5	55	59	32.5	37.5	49.5	39.5	40.5	45
VI002274B-BL	64.75	68.5	NA	57	59	33.25	30.5	52	NA	41	54
VI002284BG	66.75	68	84.5	56	60	39.75	35.5	42	47.5	36	43.5
VI002402BG	66.5	62.5	93.5	55.5	55.5	40	36.5	50	48.5	37	41.5
VI002432AG	65	62	85	56.5	52	37.25	36	54	48.5	39	NA
VI002437BG	60.75	66.5	105	57	53.5	34.25	33	47	46	33	38.5
VI002456AG	62.5	62.75	91.5	55	53	35.25	33.5	47	51	37.5	32
VI002469AG	64.25	65	96	60.5	54	39.25	40.5	51	49	44.5	35
VI002487AG	63.75	66.5	85	55.5	60	37.5	35.5	47	49	39	44
VI002523AG	66.25	68.5	94.5	58.5	57.5	40.5	36	53.5	52.5	40.5	44
VI002529B-BL	71	78	86	60	53	43.5	45	58.5	48.5	48.5	38
VI002532AG	62.75	70	93	57	56	34.5	38	48.5	48.5	38	41.5
VI002537AG	70.3333333333333	63.5	85	55	54.5	41.75	32.5	50	51.5	40.5	43
VI002569BG	72	66.5	99.5	56	59	44.5	41	45	51.5	43	45.5
VI002587AG	67.3333333333333	65.5	93.5	57.5	53	35	36.5	44	51.5	39.5	42
VI002611AG	64	66.5	94	56	59	36.5	43	56	52	39	42.5
VI002646AG	65.75	62	102.5	63.5	55	37.75	43.5	52.5	48	42	42
VI002647AG	65.5	64	95	60	58	39.75	35.5	41	45.5	43	46.5
VI002672AG	66.25	65.5	102.5	63.5	58	40.25	43	53	54	43	42
VI002739AG	63.25	63	93	58.5	58.5	39	33.5	50.5	43	39.5	43
VI002802A-BR	59.5	66.5	91.5	56.5	55.5	32.75	38	43.5	40.5	40	40.5
VI002859BG	61.75	63.5	85	54	55.5	36.5	39	51	46.5	37.5	44.5
VI002860AG	60	66	89	55.5	54.5	32.25	35.5	47	39	37.5	36
VI002872BG	60.25	66.5	91	55	52.5	35.25	36	47	46	37	38
VI002877BG	62	65	93	54	54	31.75	37.5	48	47.5	37	39
VI002894B-BR	61.5	65	95	53	53.5	34.75	37.5	46	47.5	41.5	34
VI002926AG	63.5	63.5	102	59.5	55	35.75	38	54	51.5	43.5	41
VI002934AG	62	84	93	59	55.5	32	54.5	47.5	52	42	41
VI002986AG	71	69.5	102.5	56	55.5	39	38	47	52	39.5	38
VI002993BG	66	67	92.5	57.5	53	35.75	36	47	46.5	37.5	39
VI002999AG	66	NA	85.5	58.5	NA	37	NA	54	54	44	NA
VI003019A-BLM	67	66	93	57.5	53	35.5	40	46	43	39	37
VI003019BG	69.25	68	85.5	59	60	38.25	55	49	46.5	43.5	44
VI003034BG	61.5	63.5	98.5	57	54	35.75	36	50	45.5	41	40
VI003035AG	65	69	85	60.5	54.5	37.5	42.5	55	46.5	42	43.5
VI003057BG	66.5	77.5	100.5	59	NA	41	49.5	53	43	42	59
VI003062BG	69.3333333333333	73.5	98	65.5	NA	37	45	58	52.5	44	64
VI003068A-BR	70.75	73	98	57.5	61	44.5	51	57.5	56.5	39.5	43.5
VI003070AG	68.75	72	85	59.5	57.5	37.25	39	47	47.5	43	46
VI003083BG	66.75	66.5	92	57.5	56	37.75	44	55	48	41	37.5
VI003114AG	65.75	67.5	94	57.5	57.5	39	44	54	53	40.5	45.5
VI003135B-BL	62.5	64	93.5	56	57.5	36.25	35.5	51.5	45	41	48
VI003159AG	68	66.5	94	57.5	59	44	39.5	56	54.5	42	48
VI003172BG	68.75	69	93	58.5	55.5	37.75	39.5	48.5	46	41.5	41
VI003181B-GM	64	70	89.5	55	60	36.25	39	53	40.5	41.5	53
VI003183AG	70.5	65.5	96	55	53.5	39.75	37.5	49	51	38	30
