Genotype	SeedYield_India_2016_1	SeedYield_India_2017_1	SeedYield_India_2018_1	SeedYield_India_2021_1	SeedYield_India_2018_2	SeedYield_India_2018_3	SeedYield_India_2018_4
VI000020AY	2.9	10.5175	11.15	4.395	3.35	11.155	3.35
VI000099AG	9.13	10.85	20.25	3.065	2.925	20.23575	2.9
VI000105BG	4.3	16.9325	12.7	9.255	5.315	12.68833333	5.33
VI000164BG	NA	10.1125	7.35	7.23	1.36	7.37	1.37
VI000170B-BR	13.43	9.393333333	16.9	3.96	2.515	16.9025	2.53
VI000175BY	7.59	11.6625	15.8	4.01	3.365	15.78166667	3.38
VI000188A-BLM	5.945	8.3	24.05	4.91	6.65	24.037	6.65
VI000203B-BR	6.15	8.966666667	5.9	3.385	0.6	13.84	0.19
VI000212A-BLM	1.66	6.943333333	NA	3.78	4.33	NA	4.31
VI000232AG	3.44	9.34	17.4	10.235	2.43	22.48333333	2.41
VI000238AG	4.35	8.5625	13.7	6.61	1.75	18.08	1.75
VI000253AG	3.46	9.38	18.8	8.18	0.965	18.80125	1.25
VI000316AG	1.62	10.7275	12.6	9.495	1.25	12.6	2.65
VI000317BG	5.93333333333333	11.0925	15.1	3.28	2.65	15.102	10.85
VI000319AG	7.455	7.9275	18	4.88	10.85	17.98	4.41
VI000380AG	9.28	11.33	15.15	6.15	4.43	15.16125	4.61
VI000461BG	4.85	15.23	20.3	9.16	4.63	20.27	7
VI000470AG	7.095	16.07	13.3	2.375	7	13.27	4.85
VI000532BG	9.18333333333333	13.21	15.6	9.255	4.85	15.64	1.31
VI000537BG	5.54666666666667	13.86	19.95	7.725	1.33	19.965	3.68
VI000542BY	6.25	11.54666667	5.85	5.72	3.665	5.87	1
VI000551AG	1.80333333333333	12.67	15.35	13.205	0.75	15.35875	1.55
VI000554AG	4.345	12.845	21.4	9.18	1.55	21.41	7.35
VI000559AG	1.43	12.405	34.2	7.925	7.35	34.20833333	1.25
VI000578AG	3.685	9.67	11.85	4.9	1.25	11.815	1.45
VI000589B-BR	5.18	6.8725	18.75	3.935	1.13	18.75833333	1.11
VI000616BG	1.26	14.92	11.45	7.82	1.25	11.455	1.15
VI000618AG	8.12	12.14666667	21	5.17	2.63	20.96	1.5
VI000625B-BR	3.05333333333333	9.235	7.4	4.98	2.015	19.9375	2.61
VI000680AG	6.97333333333333	10.2975	22.35	5.26	2.43	22.34375	1.83
VI000723AG	7.2375	12.185	18.95	5.39	6.365	18.9375	2.23
VI000732AG	4.54666666666667	10.32	17.5	6.315	1.75	17.5	2.41
VI000735BG	5.19	12.1625	13.35	9.78	2.15	13.35	6.38
VI000736AG	7.02	11.16	24.4	3.555	1.75	24.397	1.75
VI000749AG	8.07	7.34	19.1	7.185	1.05	19.11666667	2.15
VI000764AG	4.485	10.51	2.7	6.595	4.165	2.686	1.75
VI000766BG	4.39	13.6675	16.7	6.25	3.965	16.65875	1.05
VI000805BG	5.93333333333333	16.12	8.5	9.105	2.83	8.51	4.18
VI000815BG	13.5533333333333	14.985	19.55	13.375	3.265	19.55625	3.98
VI000818BG	3.74666666666667	11.24666667	14.55	7.45	2.45	14.5	2.81
VI000852AG	5.9925	16.85	21.4	11.425	1.53	21.37	3.28
VI000938AG	4.285	16.285	20.2	7.2	2.23	14.4	2.45
VI000942AG	6.495	10.65	23.6	7.105	5.95	23.575	1.51
VI000953AG	3.01	12.74333333	10.7	2.26	3.03	10.72	2.21
VI000981BG	9.945	9.903333333	18.4	3.325	1.965	18.41875	5.95
VI001023BG	1.61	16.24	18.35	1.76	3.65	18.34	3.01
VI001066BG	4.97	13.36	7.8	1.225	4.315	7.75	1.98
VI001096AG	4.215	15.53666667	18.3	4.015	2.93	18.29125	3.65
VI001124AG	17.55	16.0275	15.2	5.145	2.7	15.225	4.33
VI001126BG	15.14	12.2	NA	2.525	0.3	NA	2.91
VI001162AG	1.74	8.723333333	NA	4.765	0.78	NA	2.7
VI001191BG	4.32	15.9125	11.8	8.665	4.08	11.84	0.3
VI001211AG	7.5	12.8375	18.95	5.28	1.6	18.94	0.76
VI001221AG	7.00666666666667	11	14	NA	2.545	14	4.06
VI001244AG	2.84666666666667	15.3525	16.7	1.545	1.98	16.67916667	1.6
VI001268BG	6.08666666666667	11.66666667	18.8	2.11	6.565	18.8	2.54
VI001282AG	6.15	14.81	23.8	11.405	1.45	23.807	1.96
VI001284AG	5.8875	11.185	12.2	9.36	8.065	12.20666667	6.58
VI001339AG	9.14	19.28	22.45	4.14	4.165	22.47	1.45
VI001385AG	6.62666666666667	12.5575	19.45	NA	0.865	19.4805	8.08
VI001400AG	8.99	13.64	20.95	4.5	1.25	20.925	4.18
VI001403BR	NA	9.6725	10.6	2.5	0.3	10.60625	0.88
VI001406BG	4.11333333333333	15.6375	18.9	7.645	3.23	18.92	1.25
VI001408BG	8.515	13.2475	21.35	8.65	0.8	21.325	0.309
VI001411AG	3.24333333333333	13.92	20.9	NA	1.03	20.875	3.21
