Genotype	PodPerPlant_India_2018	PodPerPlant_India_2021	PodPerPlant_India_2018.1	PodPerPlant_India_2019	SW_India_2021	SW_India_2018	SeedPerPod_India_2017	SeedPerPod_India_2018	SeedPerPod_India_2018.1	SeedPerPod_India_2019
VI000020AY	38.8	14	6.55	3.67	2.995	5.45	12.45	14.5	11.15	6.5
VI000099AG	71.6	13.5	4.15	NA	3.12	3.3	11.65	12.5	11.65	5
VI000105BG	61.2	25	17.25	5.1	3.69	3.5	11.75	12	11.3	9
VI000164BG	49.5	13.5	6.15	3.8	4.19	3.45	11.5	9.5	9.3	5
VI000170B-BR	91.2	17.5	8.5	5.71	3.65	3.95	9.75	9	8.3	6.5
VI000175BY	75.55	15	11.75	4.8	4.16	4.15	11.5	12.5	10.15	7
VI000188A-BLM	121.5	26.5	33.8	13.5	3.38	2.45	12	12.5	9.8	6.5
VI000203B-BR	53.5	22	2.85	NA	3.225	1.85	9.333333333	11.1	8.5	NA
VI000212A-BLM	NA	10	14.75	4.6	2.515	3.85	11.66666667	NA	11.95	8
VI000232AG	65.75	23	8.45	5.6	5.75	3.75	11.5	11	7.3	8.5
VI000238AG	57.75	22	8.05	2	3.86	2.55	10.75	12.5	11.5	6
VI000253AG	90.15	27	6.85	5	4.02	3.15	12.5	12	7.5	6.5
VI000316AG	60.65	25.5	4.45	2.8	4.2	3.35	12	13	9.8	8.5
VI000317BG	61.5	36	12.75	6.8	3.99	2.45	11.75	12.5	12.3	7
VI000319AG	97.9	32	31	4.65	4.31	3.05	10.75	12.6	11.35	6.5
VI000380AG	47.55	8	5.3	5.4	3.15	7.15	11	13	12.3	7
VI000461BG	85.6	19.5	10.05	7.45	3.56	3.25	11.75	15	11.15	6
VI000470AG	49.4	12	13.8	3.2	4.7	6.1	10.25	9	12.45	7
VI000532BG	111.1	27.5	13.75	8.2	2.33	3.5	11.75	13.5	10.5	6.5
VI000537BG	93.1	31	7.75	6.3	3	2.4	9.666666667	13.1	7.65	6.5
