Genotype	DM_India_2017	DM_India_2018	DM_India_2021	DM_India_2018	DM_India_2019	DM_Bangladesh_2017	DM_Bangladesh_2019	DM_Bangladesh_2016	DM_Myanmar_2016	DF_India_2017	DF_India_2018	DF_India_2019	DF_India_2021	DF_India_2018	DF_India_2019	DF_Bangladesh_2017	DF_Bangladesh_2017	DF_Bangladesh_2019	DF_Bangladesh_2016	DF_Myanmar_2016
VI000020AY	63.25	64	100	57.5	52	69	72	72	76	38.25	38	53.5	50.5	41.5	34	46.5	45.5	50.5	43	39
VI000099AG	67.75	66.5	100.5	66.5	60	66	67.5	84	76	42.5	48	57	56.5	45.5	51	49	47.5	39.5	43	34
VI000105BG	65	67.5	92	55.5	57.5	65	59	70	73	36.25	36.5	49	48.5	38.5	38	36	48	48	38	33
VI000164BG	67.25	83	85	56.5	57	70	66	89	75	37.75	52	51	46	42	36	39.5	47	48.5	48	36
VI000170B-BR	69.75	63.5	91	58	52	70.5	74	76	72	38.5	28	45.5	46.5	39	38	39	47	36	43	35
VI000175BY	60	66.5	88.5	57	53.5	65	68	67	74	35.25	33	48	42	39.5	37	39	45	39	38	36
VI000188A-BLM	61	69	95.5	55.5	52.5	70	70.5	80	76	34	31.5	49	38.5	37.5	37	35.5	44	53	39	35
VI000203B-BR	71.75	67	94.5	56.5	NA	65.5	65	75	73	42.25	38	54	52.5	38	NA	49.5	47	38	45	38
VI000212A-BLM	69.75	NA	88	57.5	55.5	NA	52	86	81	39	58	56.5	49	40.5	43	NA	NA	31	45	51
VI000232AG	59.75	63.5	95	58	53	68	NA	65	74	32.5	33.5	48.5	46.5	38	42.5	35.5	45	33	37	35
VI000238AG	62	67	87	68	NA	72	61	89	76	33.25	32	56	40.5	46	51	44	46.5	48	47	38
VI000253AG	60.75	70	91	57.5	55.5	74.5	70	76	75	35.5	43.5	43	45.5	41	40.5	47	48	46	38	35
VI000316AG	62.25	72.5	90	59	61.5	70	70	89	78	36.75	38	56.5	48.5	43	41	36	46	52	46	37
VI000317BG	62	66.5	87	59.5	57	73.5	61.5	72	75	37.25	37.5	55.5	49	43	41.5	41	43.5	48	46	NA
VI000319AG	57.25	61	92	56.5	57.5	75	67.5	82	76	32.5	39	54	51	38	45	47.5	45	47.5	40	36
VI000380AG	66.75	65	101	57.5	55	67	63	62	74	38.25	36	45	45.5	41	41.5	37.5	NA	46.5	37	36
VI000461BG	61.75	63.5	91.5	57	60	75.5	76	70	74	38	34.5	57.5	50	39	55	40.5	47.5	50	41	NA
VI000470AG	62.25	64	94.5	56	60	68	56	76	75	35.75	38.5	51.5	48.5	40.5	45.5	36	44	40	40	37
VI000532BG	60.5	72.5	95	54.5	53.5	72.5	67	76	74	34.5	39.5	44	47.5	40.5	38	45	45	47	38	35
VI000537BG	65.5	65.5	94.5	55.5	58	65.5	60	82	75	43	38	48	48.5	43.5	44	50.5	44	37	45	35
VI000542BY	67.5	71.5	96.5	57.5	59.5	69	66	80	81	41.75	38	56.5	50.5	45	48.5	NA	46.5	49	52	50
VI000551AG	66.5	66.5	90	54.5	57.5	77	75.5	80	78	41	36.5	55.5	46	34	50	48.5	47	52	47	38
VI000554AG	65	65	84.5	56.5	57	71.5	70	70	78	39.25	38	56	50.5	41	37	50.5	43	49	34	38
VI000559AG	63.75	67.5	94	58.5	56	74	70	72	76	38	39.5	51	44	43	41.5	49.5	45.5	47.5	42	38
VI000578AG	67.75	75.5	87.5	65	56	75	69.5	80	78	44.5	52	58	56	43	38	50	45.5	47	53	38
VI000589B-BR	66.25	65	92.5	57.5	52	70	63	76	74	38.5	32.5	52.5	43.5	39	37	42.5	46.5	42	37	36
VI000616BG	60.5	65	91	56	57	73	55	75	73	37.25	38	53.5	48	41	NA	47	44	46	41	36
VI000618AG	62.6666666666667	68	95	55.5	54	75	65	76	75	36.25	22	47.5	46	35.5	39	35.5	45.5	42	41	33
VI000625B-BR	58.25	68.5	91	58.5	55.5	65	68.5	72	72	30.25	31	48.5	46	40	42.5	49.5	NA	51	36	33
VI000680AG	62	66.5	92	54.5	54.5	69	60.5	72	75	34.25	37.5	43	45.5	41	38.5	45	47	43	39	34
VI000723AG	67	62	86.5	57.5	56.5	75.5	62.5	65	75	39	35	45.5	38	40	40.5	47.5	43.5	39.5	48	35
VI000732AG	67	68.5	94	59.5	55	71	63	76	76	37	39	57.5	48.5	41	37.5	42.5	46.5	46.5	38	34
VI000735BG	65	68	91	56.5	52	NA	65.5	80	74	34.5	38	50.5	46	37	35.5	38.5	46.5	43.5	45	48
VI000736AG	63	65	103	58.5	55	72	68	65	76	39	33.5	49.5	46	37.5	37	42	47.5	48	41	36
VI000749AG	67	75	98	54	60.5	74.5	60	85	76	39.5	50.5	54	48	44.5	49	45.5	45	47.5	55	38
VI000764AG	62.5	85	98	55	60	67	71	82	76	38.75	58	50	45.5	37.5	53	41	44.5	49	36	35
VI000766BG	64.5	65	91.5	54	52	65	66.5	65	74	36	35	52	48.5	35.5	34.5	36	48.5	36	37	37
VI000805BG	64.25	65	91.5	57	53.5	72	71.5	70	75	35.25	34	48	44	41	36	36	45	48.5	36	40
VI000815BG	65.5	65	92	67	53	68	69	65	74	35.5	33.5	45	46.5	41	37.5	36.5	46	32	36	38
VI000818BG	61	68	93	54.5	50	69	64	77	73	33.25	32.5	49.5	46.5	37	39	37	46	42	37	36
VI000852AG	62.6666666666667	65	101	61	55	75	58	73	75	35.75	35	53	47	44	41	41.5	47	37	39	34
VI000938AG	62.25	68	94	57	54	74	56	80	76	35.25	36.5	46	40.5	39	40.5	48.5	46.5	45	45	37
VI000942AG	63.75	65.5	103	56.5	55	73	67.5	72	75	40.5	31.5	57.5	41.5	38.5	34	47.5	48	47	37	35
VI000953AG	63.75	63.5	99	61.5	56.5	69	76	76	74	38.75	33.5	43	46	43.5	45	37	46	52	41	35
VI000981BG	60.75	66.5	95.5	57.5	53.5	67	63	65	73	34	36.5	48.5	44.5	34	39.5	37	45	45	39	35
VI001023BG	62.75	66	101.5	56	53	71	68	76	74	34.5	34	47	45	41	41	37.5	44	47.5	36	38
VI001066BG	68	NA	101	56	62	67	72	89	79	45.5	51	50.5	43.5	39	50	NA	48	52	47	38
VI001096AG	67	64	94.5	57.5	55	67	65.5	65	75	37	37	53	53	40	42	41	44	40	40	37
VI001124AG	67	63.5	103	54.5	53	70	61	65	74	36.75	34.5	47	47.5	37.5	43	37.5	45	40	41	35
VI001126BG	71	NA	95	57	55	NA	61	87	80	47.3333333333333	48	52.5	46.5	41	41	51	48	40	47	35
VI001162AG	68.6666666666667	NA	101.5	60	NA	66	62	NA	79	42	NA	57	49.5	38	NA	48	45	49	NA	45
VI001191BG	64.75	63.5	92.5	60	51.5	66.5	64	67	73	36.25	33.5	50.5	54.5	33	36	40.5	44	51	41	35
VI001211AG	65.25	66.5	94.5	55.5	57	69.5	68	72	75	40.5	38.5	56	53	37.5	37	43	45.5	46	41	38
VI001221AG	62.75	63.5	NA	55	56.5	67.5	71.5	65	75	36.25	35.5	51.5	NA	37	40.5	41	45	47	39	35
VI001244AG	65.5	60.5	98.5	57	57	67.5	71.6	72	75	35.75	33	50.5	48	41	35	45.5	43.5	47.5	45	35
