Genotype	PodPerPlant_India_2018	PodPerPlant_India_2021	PodPerPlant_India_2018	PodPerPlant_India_2019	SW_India_2021	SW_India_2018	SeedPerPod_India_2017	SeedPerPod_India_2018	SeedPerPod_India_2018	SeedPerPod_India_2019	PodPerPlant_Bangladesh_2017	SeedPerPod_Bangladesh_2017	PodPerPlant_Bangladesh_2019	SW_Bangladesh_2019	SeedPerPod_Bangladesh_2019	SW_Bangladesh_2017	PodPerPlant_Bangladesh_2017	PodPerPlant_Bangladesh_2016	SW_Myanmar_2016
VI000020AY	38.8	14	6.55	3.67	2.995	5.45	12.45	14.5	11.15	6.5	12.225	8.2	19.6	4.935	15.1	3	8.5	10.6	6
VI000099AG	71.6	13.5	4.15	NA	3.12	3.3	11.65	12.5	11.65	5	10.385	10.1	14.3	5.34	10.5	2.55	22.5	7.6	3.6
VI000105BG	61.2	25	17.25	5.1	3.69	3.5	11.75	12	11.3	9	20.3	10.1	22.6	3.85	11.4	2.45	9	9.6	4.4
VI000164BG	49.5	13.5	6.15	3.8	4.19	3.45	11.5	9.5	9.3	5	7.165	9.5	29.5	3.59	11.7	2.7	14.5	6.1	4
VI000170B-BR	91.2	17.5	8.5	5.71	3.65	3.95	9.75	9	8.3	6.5	5.67	8	19.9	3.98	11.4	1.9	8.5	5.9	4.4
VI000175BY	75.55	15	11.75	4.8	4.16	4.15	11.5	12.5	10.15	7	6.7	8.5	25.5	4.21	11.1	2.3	7.5	16.6	4.6
VI000188A-BLM	121.5	26.5	33.8	13.5	3.38	2.45	12	12.5	9.8	6.5	16.735	8.8	30.3	3.985	12	2.3	9.5	18.8	3.2
VI000203B-BR	53.5	22	2.85	NA	3.225	1.85	9.333333333	11.1	8.5	NA	9.5	8.4	24.1	3.915	13	2.65	13	6.2	3.4
VI000212A-BLM	NA	10	14.75	4.6	2.515	3.85	11.66666667	NA	11.95	8	NA	NA	29.6	3.01	10	0	0	7.4	2.8
VI000232AG	65.75	23	8.45	5.6	5.75	3.75	11.5	11	7.3	8.5	7	9.4	20.5	4.545	11.2	2.4	9.5	3.9	5.2
VI000238AG	57.75	22	8.05	2	3.86	2.55	10.75	12.5	11.5	6	NA	NA	22.4	2.97	10.8	2.55	15	4.2	3.4
VI000253AG	90.15	27	6.85	5	4.02	3.15	12.5	12	7.5	6.5	13.7	10	9	3.5	11.4	2.55	13	31.8	3.6
VI000316AG	60.65	25.5	4.45	2.8	4.2	3.35	12	13	9.8	8.5	12.7	11.8	18.4	4.045	11.2	2.75	12.5	4.9	3.8
VI000317BG	61.5	36	12.75	6.8	3.99	2.45	11.75	12.5	12.3	7	9.3	9.4	27.1	3.585	10.6	2.5	18.5	5.6	4.8
VI000319AG	97.9	32	31	4.65	4.31	3.05	10.75	12.6	11.35	6.5	26.6	10.1	34.3	3.875	11.3	2.75	14.5	15	3.6
VI000380AG	47.55	8	5.3	5.4	3.15	7.15	11	13	12.3	7	7	9.6	22.4	4.31	10.9	0	0	21.6	7.6
VI000461BG	85.6	19.5	10.05	7.45	3.56	3.25	11.75	15	11.15	6	8.4	11	19.4	2.89	11.4	2.6	15	16.2	4.2
VI000470AG	49.4	12	13.8	3.2	4.7	6.1	10.25	9	12.45	7	7.4	7.4	25.5	5.575	11.5	2.8	11.5	10.2	8.2
VI000532BG	111.1	27.5	13.75	8.2	2.33	3.5	11.75	13.5	10.5	6.5	9.2	9.8	22.5	3.19	11.2	2.6	17	25.2	2.8
VI000537BG	93.1	31	7.75	6.3	3	2.4	9.666666667	13.1	7.65	6.5	12.1	9	19	4.04	11	2	7	18	3.2
VI000542BY	38.6	17.5	11.85	4.9	3.115	2.2	12	11.5	7.95	7	9.3	9.1	33.8	3.4	11.4	2.95	19.5	4.2	30
VI000551AG	101.3	41.5	4.35	5.5	3.14	2.4	12	12.5	10	7	5.75	10.6	14.7	3.275	11	2.6	23	6.4	3.2
VI000554AG	106.5	43.5	8.65	5.1	3.55	3.9	12	10	11.45	7.5	20	10.6	22.4	3.62	10.7	2.15	16	9.8	3.6
VI000559AG	114.35	23	31.25	7.4	3.2	2.95	11.5	12.5	12.3	7	9.7	8.575	16.02	2.6	8.375	2.65	26	16.4	3.4
VI000578AG	74	33	6.05	7.65	2.83	1.95	11.5	12	11.35	7.5	11.6	9.2	26.3	2.93	12.2	2.7	24	5.8	3.2
VI000589B-BR	55	20.5	7.45	6.125	3.6	3.25	10.5	13	9.65	7	7.8	9.5	21.1	3.395	11	2.3	10	7.1	4
VI000616BG	57.9	39.5	6.35	NA	3.54	2.75	11	13.5	9.3	NA	14.3	10.1	23.78	1.615	10.6	2.2	15	6.8	3.8
VI000618AG	108	34.5	10.05	6.3	3.06	2.75	10	13	11.95	6.5	11.5	8.4	21.1	4.975	11.7	2.75	14	17.2	3.6
VI000625B-BR	55.75	23.5	5.1	7.2	3.03	2.3	11.25	11.5	12.45	9	6.25	10	18.5	3.525	10.5	0	0	6.6	3.2
VI000680AG	89	17.5	7.05	5.6	3.23	2.95	11	12.5	9.8	7	10.9	9	33.9	5.305	13.4	2.15	14	17.4	4
VI000723AG	87.45	22	28.05	4	3.18	2.15	10.5	12.5	12	8	5.6	7.6	21.5	3.44	10.5	2.2	21	15.2	3.4
VI000732AG	64.5	19	5.15	5.5	5.74	2.65	11.75	13.5	10.45	7.5	12.9	9.5	25.4	3.435	11.4	2.55	11.5	13.4	5
VI000735BG	83.25	31	11.45	7.6	6.34	3.95	13.25	12	12.15	7	NA	NA	25.9	4.15	11.6	2.25	9.5	5.4	4.4
VI000736AG	80.5	13	4.4	5.15	3.75	5.45	11	13.5	7	7	8.2	9.4	34	4.17	11.4	2.45	11.5	14.4	6.6
VI000749AG	83.3	26.5	5.75	3.415	3.205	2.85	11.33333333	15	12.15	7.5	12.7	10.3	16.9	4.02	11.3	2.5	14.5	8.5	3.8
VI000764AG	22.8	20	9.75	5.2	3.83	3.55	12	12	11.15	7	5.8	7.8	31.9	3.735	11.1	3.1	11.5	7.8	4.2
VI000766BG	77.95	27.5	7.75	9.2	3.93	2.75	12	12.5	10	7.5	21.7	10.1	16.1	3.565	11.4	2.35	16	16	3.6
VI000805BG	85.35	29	7.75	5.2	4.44	4.45	11.5	12.5	11.8	7.5	8	9.6	28.2	4.905	11.5	2.3	3	12.8	5.6
VI000815BG	70.65	32.5	11.25	6.9	3.96	3.35	11.66666667	10	6.65	9	11.3	9.8	22.1	3.51	11.8	2.5	11.5	16	3.6
VI000818BG	54.8	14.5	10.85	4.5	3.71	3.65	9.333333333	10.5	9.5	7.5	20	7.2	30.6	4.19	10.8	2.95	21.5	7.4	4
VI000852AG	115	23	5.25	11.3	4.48	3.95	12.25	12.8	10.3	7	12.3	9.2	21.5	4.095	10.2	2.1	19	23.6	5.4
VI000938AG	98.2	17	5.85	8.8	3.86	0.5	11.5	12	11.5	8.5	12.9	10.8	24.4	3.08	10.8	2.95	14	9.8	3.6
VI000942AG	90.8	18.5	18.95	4.8	4.69	3.65	11	11.65	11.85	9	7.9	9.5	23.5	5.09	10.6	2.8	5.5	15.4	5.8
VI000953AG	38.4	7.5	4.85	5.3	3.2	5.55	10.33333333	12	11.65	7.5	2	8.5	20.5	3.4	11.9	2.35	9.5	13.6	8.2
VI000981BG	73.05	9	10.75	4.8	3.59	2.95	10	12.5	10.15	6.5	6.2	9.5	16.28	4.15	7.32	3	13.5	7.4	5
VI001023BG	79.9	20	6.55	5.8	5.61	4.65	12.75	13	11.65	6.5	7.2	9.9	20.3	2.26	11.1	2.05	10.5	8.4	5.2
VI001066BG	35	13	10.1	3.2	3.295	4.4	11.5	14	10.65	7	8.9	9.3	14	4.995	10.8	2.7	8.5	2.9	4.4
